_key,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
185,185,NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,28.77M,-,0.66,5.02%,"22,519,011"
186,186,UFAB,"Unique Fabricating, Inc.",Consumer Cyclical,Auto Parts,USA,27.34M,-,2.57,-1.91%,"21,812"
187,187,MSN,Emerson Radio Corp.,Technology,Consumer Electronics,USA,26.73M,-,1.29,-3.73%,"144,848"
188,188,CTEK,"CynergisTek, Inc.",Technology,Information Technology Services,USA,26.30M,-,2.05,-13.87%,"156,381"
189,189,CVR,Chicago Rivet & Machine Co.,Industrials,Tools & Accessories,USA,25.85M,48.70,26.93,-0.07%,489
190,190,COHN,Cohen & Company Inc.,Financial,Capital Markets,USA,23.78M,1.00,17.88,-1.49%,"46,632"
191,191,GBR,"New Concept Energy, Inc.",Energy,Oil & Gas E&P,USA,23.66M,379.17,4.55,-4.01%,"61,833"
192,192,CKX,"CKX Lands, Inc.",Energy,Oil & Gas E&P,USA,22.35M,31.48,11.46,-4.74%,181
193,193,SVT,"Servotronics, Inc.",Industrials,Electrical Equipment & Parts,USA,20.68M,-,8.34,-0.51%,873
194,194,ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA,20.00M,-,12.12,-7.06%,"40,200"
195,195,BRN,"Barnwell Industries, Inc.",Energy,Oil & Gas E&P,USA,19.83M,-,2.33,-2.92%,"53,945"
196,196,RMED,"Ra Medical Systems, Inc.",Healthcare,Medical Devices,USA,19.60M,-,3.24,-0.31%,"632,169"
197,197,TRT,Trio-Tech International,Technology,Semiconductor Equipment & Materials,USA,19.31M,31.38,4.99,3.74%,"4,562"
198,198,SDPI,"Superior Drilling Products, Inc.",Energy,Oil & Gas Equipment & Services,USA,18.95M,-,0.73,-1.97%,"42,234"
199,199,MXC,Mexco Energy Corporation,Energy,Oil & Gas E&P,USA,18.08M,124.20,8.57,-0.23%,"212,677"
200,200,SSY,"SunLink Health Systems, Inc.",Healthcare,Medical Care Facilities,USA,17.97M,9.73,2.51,-3.46%,"35,066"
201,201,HUSA,Houston American Energy Corp.,Energy,Oil & Gas E&P,USA,17.29M,-,1.64,-0.61%,"165,454"
202,202,AWX,Avalon Holdings Corporation,Industrials,Waste Management,USA,16.77M,10.91,4.31,-3.36%,"41,033"
203,203,AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA,16.05M,-,2.82,-2.76%,"37,025"
204,204,RHE,"Regional Health Properties, Inc.",Healthcare,Medical Care Facilities,USA,15.45M,-,8.98,-1.10%,"161,424"
205,205,ENSV,Enservco Corporation,Energy,Oil & Gas Equipment & Services,USA,14.53M,-,1.23,-4.65%,"208,518"
206,206,BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,14.08M,-,1.10,-2.65%,"175,011"
207,207,UUU,"Universal Security Instruments, Inc.",Industrials,Security & Protection Services,USA,13.76M,49.22,5.71,-3.71%,"32,006"
208,208,UDEC,Innovator S&P 500 Ultra Buffer ETF - December,Financial,Exchange Traded Fund,USA,-,-,29.56,0.00%,0
209,209,VIRS,Pacer BioThreat Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,32.63,-0.28%,450
210,210,VIXM,ProShares VIX Mid-Term Futures ETF,Financial,Exchange Traded Fund,USA,-,-,31.71,1.57%,"96,944"
211,211,VIXY,ProShares VIX Short-Term Futures ETF,Financial,Exchange Traded Fund,USA,-,-,25.25,3.31%,"4,984,384"
212,212,VLUE,iShares MSCI USA Value Factor ETF,Financial,Exchange Traded Fund,USA,-,-,103.52,-0.43%,"751,294"
213,213,VMOT,Alpha Architect Value Momentum Trend ETF,Financial,Exchange Traded Fund,USA,-,-,27.40,-0.79%,"1,471"
